Name,Date of Admission,Latitude,Longitude,URL
Afghanistan,19 November 1946,34°31′N,69°11′E,/wiki/Afghanistan
Albania,14 December 1955,41°N,20°E,/wiki/Albania
Algeria,8 October 1962,28°N,2°E,/wiki/Algeria
Andorra,28 July 1993,42°33′N,1°35′E,/wiki/Andorra
Angola,1 December 1976,12°30′S,18°30′E,/wiki/Angola
Antigua and Barbuda,11 November 1981,17°03′N,61°48′W,/wiki/Antigua_and_Barbuda
Argentina,24 October 1945,34°S,64°W,/wiki/Argentina
Armenia,2 March 1992,40°11′N,44°31′E,/wiki/Armenia
Australia,1 November 1945,25°S,133°E,/wiki/Australia
Austria,14 December 1955,47°20′N,13°20′E,/wiki/Austria
Azerbaijan,2 March 1992,40°18′N,47°42′E,/wiki/Azerbaijan
Bahamas,18 September 1973,25°00′N,77°24′W,/wiki/The_Bahamas
Bahrain,21 September 1971,26°4′N,50°30′E,/wiki/Bahrain
Bangladesh,17 September 1974,24°N,90°E,/wiki/Bangladesh
Barbados,9 December 1966,13°10′12″N,59°33′09″W,/wiki/Barbados
Belarus,24 October 1945,53°N,27°E,/wiki/Belarus
Belgium,27 December 1945,50°50′N,4°00′E,/wiki/Belgium
Belize,25 September 1981,17°4′N,88°42′W,/wiki/Belize
Benin,20 September 1960,6°28′N,2°36′E,/wiki/Benin
Bhutan,21 September 1971,27°25′01″N,90°26′06″E,/wiki/Bhutan
Plurinational State of Bolivia,14 November 1945,16°42′43″S,64°39′58″W,/wiki/Bolivia
Bosnia and Herzegovina,22 May 1992,44°N,18°E,/wiki/Bosnia_and_Herzegovina
Botswana,17 October 1966,24°39.5′S,25°54.5′E,/wiki/Botswana
Brazil,24 October 1945,10°S,52°W,/wiki/Brazil
Brunei,21 September 1984,4°30′N,114°40′E,/wiki/Brunei
Bulgaria,14 December 1955,43°N,25°E,/wiki/Bulgaria
Burkina Faso,20 September 1960,12°20′N,1°50′W,/wiki/Burkina_Faso
Burundi,18 September 1962,3°30′S,30°00′E,/wiki/Burundi
Cabo Verde,16 September 1975,15°18′N,23°42′W,/wiki/Cape_Verde
Cambodia,14 December 1955,12°30′N,105°00′E,/wiki/Cambodia
Cameroon,20 September 1960,6°N,12°E,/wiki/Cameroon
Canada,9 November 1945,60°N,110°W,/wiki/Canada
Central African Republic,20 September 1960,7°N,21°E,/wiki/Central_African_Republic
Chad,20 September 1960,15°N,19°E,/wiki/Chad
Chile,24 October 1945,34°S,71°W,/wiki/Chile
China,24 October 1945,35°N,103°E,/wiki/China
Colombia,5 November 1945,4°N,72°W,/wiki/Colombia
Comoros,12 November 1975,12°18′S,43°42′E,/wiki/Comoros
Congo,20 September 1960,1°26′24″S,15°33′22″E,/wiki/Republic_of_the_Congo
Costa Rica,2 November 1945,10°N,84°W,/wiki/Costa_Rica
Côte d'Ivoire,20 September 1960,8°N,5°W,/wiki/Ivory_Coast
Croatia,22 May 1992,45°10′N,15°30′E,/wiki/Croatia
Cuba,24 October 1945,22°N,80°W,/wiki/Cuba
Cyprus,20 September 1960,35°N,33°E,/wiki/Cyprus
Czechia,19 January 1993,49°45′N,15°30′E,/wiki/Czech_Republic
Democratic People's Republic of Korea,17 September 1991,40°N,127°E,/wiki/Democratic_People%27s_Republic_of_Korea
Democratic Republic of the Congo,20 September 1960,3°S,24°E,/wiki/Democratic_Republic_of_the_Congo
Denmark,24 October 1945,,,/wiki/Danish_Realm
Djibouti,20 September 1977,11°30′N,43°00′E,/wiki/Djibouti
Dominica,18 December 1978,15°25′N,61°20′W,/wiki/Dominica
Dominican Republic,24 October 1945,19°00′N,70°40′W,/wiki/Dominican_Republic
Ecuador,21 December 1945,2°00′S,77°30′W,/wiki/Ecuador
Egypt,24 October 1945,26°N,30°E,/wiki/Egypt
El Salvador,24 October 1945,13°41′N,89°11′W,/wiki/El_Salvador
Equatorial Guinea,12 November 1968,1°30′N,10°00′E,/wiki/Equatorial_Guinea
Eritrea,28 May 1993,15°N,39°E,/wiki/Eritrea
Estonia,17 September 1991,59°N,26°E,/wiki/Estonia
Eswatini,24 September 1968,26°30′S,31°30′E,/wiki/Eswatini
Ethiopia,13 November 1945,9°00′N,38°42′E,/wiki/Ethiopia
Fiji,13 October 1970,18°S,179°E,/wiki/Fiji
Finland,14 December 1955,64°N,26°E,/wiki/Finland
France,24 October 1945,47°N,2°E,/wiki/France
Gabon,20 September 1960,1°S,12°E,/wiki/Gabon
Gambia (Republic of The),21 September 1965,13°27′00″N,16°34′30″W,/wiki/The_Gambia
Georgia,31 July 1992,42°00′N,43°30′E,/wiki/Georgia_(country)
Germany,18 September 1973,51°N,9°E,/wiki/Germany
Ghana,8 March 1957,8°02′N,1°05′W,/wiki/Ghana
Greece,25 October 1945,39°N,22°E,/wiki/Greece
Grenada,17 September 1974,12°06′N,61°42′W,/wiki/Grenada
Guatemala,21 November 1945,15°30′N,90°15′W,/wiki/Guatemala
Guinea,12 December 1958,11°N,10°W,/wiki/Guinea
Guinea Bissau,17 September 1974,12°N,15°W,/wiki/Guinea-Bissau
Guyana,20 September 1966,5°N,59°W,/wiki/Guyana
Haiti,24 October 1945,19°00′N,72°25′W,/wiki/Haiti
Honduras,17 December 1945,15°00′N,86°30′W,/wiki/Honduras
Hungary,14 December 1955,47°N,20°E,/wiki/Hungary
Iceland,19 November 1946,65°N,18°W,/wiki/Iceland
India,30 October 1945,21°N,78°E,/wiki/India
Indonesia,28 September 1950,5°S,120°E,/wiki/Indonesia
Iran (Islamic Republic of),24 October 1945,32°N,53°E,/wiki/Iran
Iraq,21 December 1945,33°N,44°E,/wiki/Iraq
Ireland,14 December 1955,53°N,8°W,/wiki/Republic_of_Ireland
Israel,11 May 1949,31°N,35°E,/wiki/Israel
Italy,14 December 1955,43°N,12°E,/wiki/Italy
Jamaica,18 September 1962,18°10′48″N,77°24′00″W,/wiki/Jamaica
Japan,18 December 1956,36°N,138°E,/wiki/Japan
Jordan,14 December 1955,31°00′N,36°30′E,/wiki/Jordan
