Name,Date joined,Latitude,Longitude,URL
Afghanistan,19 November 1946,34°31′N,69°11′E,/wiki/Afghanistan
Albania,14 December 1955,41°N,20°E,/wiki/Albania
Algeria,8 October 1962,28°N,2°E,/wiki/Algeria
Andorra,28 July 1993,,,/wiki/Andorra
Angola,1 December 1976,,,/wiki/Angola
Antigua and Barbuda,11 November 1981,,,/wiki/Antigua_and_Barbuda
Argentina,24 October 1945,,,/wiki/Argentina
Armenia,2 March 1992,,,/wiki/Armenia
Australia,1 November 1945,,,/wiki/Australia
Austria,14 December 1955,,,/wiki/Austria
Azerbaijan,2 March 1992,,,/wiki/Azerbaijan
Bahamas,18 September 1973,,,/wiki/The_Bahamas
Bahrain,21 September 1971,,,/wiki/Bahrain
Bangladesh,17 September 1974,,,/wiki/Bangladesh
Barbados,9 December 1966,,,/wiki/Barbados
Belarus,24 October 1945,,,/wiki/Belarus
Belgium,27 December 1945,,,/wiki/Belgium
Belize,25 September 1981,,,/wiki/Belize
Benin,20 September 1960,,,/wiki/Benin
Bhutan,21 September 1971,,,/wiki/Bhutan
Bolivia,14 November 1945,,,/wiki/Bolivia
Bosnia and Herzegovina,22 May 1992,,,/wiki/Bosnia_and_Herzegovina
Botswana,17 October 1966,,,/wiki/Botswana
Brazil,24 October 1945,,,/wiki/Brazil
Brunei Darussalam,21 September 1984,,,/wiki/Brunei
Bulgaria,14 December 1955,,,/wiki/Bulgaria
Burkina Faso,20 September 1960,,,/wiki/Burkina_Faso
Burundi,18 September 1962,,,/wiki/Burundi
Cabo Verde,16 September 1975,,,/wiki/Cape_Verde
Cambodia,14 December 1955,,,/wiki/Cambodia
Cameroon,20 September 1960,,,/wiki/Cameroon
Canada,9 November 1945,,,/wiki/Canada
Central African Republic,20 September 1960,,,/wiki/Central_African_Republic
Chad,20 September 1960,,,/wiki/Chad
Chile,24 October 1945,,,/wiki/Chile
China,24 October 1945,,,/wiki/China
Colombia,5 November 1945,,,/wiki/Colombia
Comoros,12 November 1975,,,/wiki/Comoros
Congo,20 September 1960,,,/wiki/Republic_of_the_Congo
Costa Rica,2 November 1945,,,/wiki/Costa_Rica
Côte d'Ivoire,20 September 1960,,,/wiki/Ivory_Coast
Croatia,22 May 1992,,,/wiki/Croatia
Cuba,24 October 1945,,,/wiki/Cuba
Cyprus,20 September 1960,,,/wiki/Cyprus
Czechia,19 January 1993,,,/wiki/Czech_Republic
Democratic People's Republic of Korea,17 September 1991,,,/wiki/Democratic_People%27s_Republic_of_Korea
Democratic Republic of the Congo,20 September 1960,,,/wiki/Democratic_Republic_of_the_Congo
Denmark,24 October 1945,,,/wiki/Danish_Realm
Djibouti,20 September 1977,,,/wiki/Djibouti
Dominica,18 December 1978,,,/wiki/Dominica
Dominican Republic,24 October 1945,,,/wiki/Dominican_Republic
Ecuador,21 December 1945,,,/wiki/Ecuador
Egypt,24 October 1945,,,/wiki/Egypt
El Salvador,24 October 1945,,,/wiki/El_Salvador
Equatorial Guinea,12 November 1968,,,/wiki/Equatorial_Guinea
Eritrea,28 May 1993,,,/wiki/Eritrea
Estonia,17 September 1991,,,/wiki/Estonia
Eswatini,24 September 1968,,,/wiki/Eswatini
Ethiopia,13 November 1945,,,/wiki/Ethiopia
Fiji,13 October 1970,,,/wiki/Fiji
Finland,14 December 1955,,,/wiki/Finland
France,24 October 1945,,,/wiki/France
Gabon,20 September 1960,,,/wiki/Gabon
Gambia,21 September 1965,,,/wiki/The_Gambia
Georgia,31 July 1992,,,/wiki/Georgia_(country)
Germany,18 September 1973,,,/wiki/Germany
Ghana,8 March 1957,,,/wiki/Ghana
Greece,25 October 1945,,,/wiki/Greece
Grenada,17 September 1974,,,/wiki/Grenada
Guatemala,21 November 1945,,,/wiki/Guatemala
Guinea,12 December 1958,,,/wiki/Guinea
Guinea Bissau,17 September 1974,,,/wiki/Guinea-Bissau
Guyana,20 September 1966,,,/wiki/Guyana
Haiti,24 October 1945,,,/wiki/Haiti
Honduras,17 December 1945,,,/wiki/Honduras
Hungary,14 December 1955,,,/wiki/Hungary
Iceland,19 November 1946,,,/wiki/Iceland
India,30 October 1945,,,/wiki/India
Indonesia,28 September 1950,,,/wiki/Indonesia
Iran,24 October 1945,,,/wiki/Iran
Iraq,21 December 1945,,,/wiki/Iraq
Ireland,14 December 1955,,,/wiki/Republic_of_Ireland
Israel,11 May 1949,,,/wiki/Israel
Italy,14 December 1955,,,/wiki/Italy
Jamaica,18 September 1962,,,/wiki/Jamaica
Japan,18 December 1956,,,/wiki/Japan
Jordan,14 December 1955,,,/wiki/Jordan
Kazakhstan,2 March 1992,,,/wiki/Kazakhstan
Kenya,16 December 1963,,,/wiki/Kenya
Kiribati,14 September 1999,,,/wiki/Kiribati
Kuwait,14 May 1963,,,/wiki/Kuwait
Kyrgyzstan,2 March 1992,,,/wiki/Kyrgyzstan
Lao People's Democratic Republic,14 December 1955,,,/wiki/Laos
Latvia,17 September 1991,,,/wiki/Latvia
Lebanon,24 October 1945,,,/wiki/Lebanon
Lesotho,17 October 1966,,,/wiki/Lesotho
Liberia,2 November 1945,,,/wiki/Liberia
Libya,14 December 1955,,,/wiki/Libya
Liechtenstein,18 September 1990,,,/wiki/Liechtenstein
Lithuania,17 September 1991,,,/wiki/Lithuania
Luxembourg,24 October 1945,,,/wiki/Luxembourg
Madagascar,20 September 1960,,,/wiki/Madagascar
Malawi,1 December 1964,,,/wiki/Malawi
Malaysia,17 September 1957,,,/wiki/Malaysia
Maldives,21 September 1965,,,/wiki/Maldives
Mali,28 September 1960,,,/wiki/Mali
Malta,1 December 1964,,,/wiki/Malta
Marshall Islands,17 September 1991,,,/wiki/Marshall_Islands
Mauritania,27 October 1961,,,/wiki/Mauritania
Mauritius,24 April 1968,,,/wiki/Mauritius
Mexico,7 November 1945,,,/wiki/Mexico
Micronesia,17 September 1991,,,/wiki/Federated_States_of_Micronesia
Monaco,28 May 1993,,,/wiki/Monaco
Mongolia,27 October 1961,,,/wiki/Mongolia
