Name,Date joined,URL,Latitude,Longitude
Afghanistan,19 November 1946,/wiki/Afghanistan,34°31′N,69°11′E
Albania,14 December 1955,/wiki/Albania,41°N,20°E
Algeria,8 October 1962,/wiki/Algeria,28°N,2°E
Andorra,28 July 1993,/wiki/Andorra,42°33′N,1°35′E
Angola,1 December 1976,/wiki/Angola,12°30′S,18°30′E
Antigua and Barbuda,11 November 1981,/wiki/Antigua_and_Barbuda,17°03′N,61°48′W
Argentina,24 October 1945,/wiki/Argentina,34°S,64°W
Armenia,2 March 1992,/wiki/Armenia,40°11′N,44°31′E
Australia,1 November 1945,/wiki/Australia,25°S,133°E
Austria,14 December 1955,/wiki/Austria,47°20′N,13°20′E
Azerbaijan,2 March 1992,/wiki/Azerbaijan,40°18′N,47°42′E
Bahamas,18 September 1973,/wiki/The_Bahamas,25°00′N,77°24′W
Bahrain,21 September 1971,/wiki/Bahrain,26°4′N,50°30′E
Bangladesh,17 September 1974,/wiki/Bangladesh,24°N,90°E
Barbados,9 December 1966,/wiki/Barbados,13°10′12″N,59°33′09″W
Belarus,24 October 1945,/wiki/Belarus,53°N,27°E
Belgium,27 December 1945,/wiki/Belgium,50°50′N,4°00′E
Belize,25 September 1981,/wiki/Belize,17°4′N,88°42′W
Benin,20 September 1960,/wiki/Benin,6°28′N,2°36′E
Bhutan,21 September 1971,/wiki/Bhutan,27°25′01″N,90°26′06″E
Plurinational State of Bolivia,14 November 1945,/wiki/Bolivia,16°42′43″S,64°39′58″W
Bosnia and Herzegovina,22 May 1992,/wiki/Bosnia_and_Herzegovina,44°N,18°E
Botswana,17 October 1966,/wiki/Botswana,24°39.5′S,25°54.5′E
Brazil,24 October 1945,/wiki/Brazil,10°S,52°W
Brunei,21 September 1984,/wiki/Brunei,4°30′N,114°40′E
Bulgaria,14 December 1955,/wiki/Bulgaria,43°N,25°E
Burkina Faso,20 September 1960,/wiki/Burkina_Faso,12°20′N,1°50′W
Burundi,18 September 1962,/wiki/Burundi,3°30′S,30°00′E
Cabo Verde,16 September 1975,/wiki/Cape_Verde,15°18′N,23°42′W
Cambodia,14 December 1955,/wiki/Cambodia,12°30′N,105°00′E
Cameroon,20 September 1960,/wiki/Cameroon,6°N,12°E
Canada,9 November 1945,/wiki/Canada,60°N,110°W
Central African Republic,20 September 1960,/wiki/Central_African_Republic,7°N,21°E
Chad,20 September 1960,/wiki/Chad,15°N,19°E
Chile,24 October 1945,/wiki/Chile,34°S,71°W
China,24 October 1945,/wiki/China,35°N,103°E
Colombia,5 November 1945,/wiki/Colombia,4°N,72°W
